MonoMass	MinElutionTime	MaxElutionTime	CV50_H3_C1_Abundance	CV50_H3_C2_Abundance	CV50_H3_C3_Abundance	CV50_H3_C4_Abundance	CV50_H3_C5_Abundance	CV50_H4_A1_Abundance	CV50_H4_A2_Abundance	CV50_H4_A3_Abundance	CV50_H4_A4_Abundance	CV50_H3_C1_Ms1Score	CV50_H3_C2_Ms1Score	CV50_H3_C3_Ms1Score	CV50_H3_C4_Ms1Score	CV50_H3_C5_Ms1Score	CV50_H4_A1_Ms1Score	CV50_H4_A2_Ms1Score	CV50_H4_A3_Ms1Score	CV50_H4_A4_Ms1Score	CV50_H3_C1_FeatureId	CV50_H3_C2_FeatureId	CV50_H3_C3_FeatureId	CV50_H3_C4_FeatureId	CV50_H3_C5_FeatureId	CV50_H4_A1_FeatureId	CV50_H4_A2_FeatureId	CV50_H4_A3_FeatureId	CV50_H4_A4_FeatureId
2011.0309	32.14	33.236	72123.4	5983.774	5597.789	14041.94	59298.67	8826.97	48134.34	70269.23	6613.192	67.301	-1802.168	13.69579	39.39757	-3.402823E+38	64.6324	-3.402823E+38	-3.402823E+38	35.25697	1	0	0	0	0	1	0	0	0
2011.91505	31.911	33.412	32824.07	36787.08	57370.32	41547.49	21918.94	5770.04	26269.16	9429.557	40507.19	29.0353	45.0111	58.6062	56.0136	41.18167	21.4676	44.8972	-1592.934	55.778	2	1	1	1	0	2	0	0	1
2016.0299	15.072	17.15	32167.53	18694.43	23898.48	5099.929	68773.42	13424.9	72198.69	26657.86	97798.21	-3.402823E+38	-3.402823E+38	-3.402823E+38	-1593.281	-3.402823E+38	-3.402823E+38	-3.402823E+38	53.8984	-3.402823E+38	0	0	0	0	0	0	0	1	0
2021.98995	34.024	35.99	98879.25	93388.06	122950.4	43017.33	12535.44	26236.9	10623.28	43512	118798.2	-3.402823E+38	-3.402823E+38	-3.402823E+38	60.1977	35.07964	-3.402823E+38	59.2858	67.369	-3.402823E+38	0	0	0	2	0	0	0	2	0
2025.028	15.618	16.59	33867.41	7915.3	16567.27	97662.41	35007.14	2495.05	3858.646	52599.92	12626.53	60.0284	50.9199	47.4793	74.0682	71.1033	24.1565	-1590.581	46.8447	56.657	3	2	2	3	1	5	0	3	2
2024.9644	14.842	16.377	75201.64	55061.64	54152.01	3312.559	45904.59	3309.49	62531.56	94468.94	86446.36	-3.402823E+38	-3.402823E+38	-3.402823E+38	-1808.77	-3.402823E+38	38.2527	-3.402823E+38	-3.402823E+38	-3.402823E+38	0	0	0	0	0	3	0	0	0
2024.9832	20.073	21.004	43133.58	35493.74	42978.8	12547.75	6365.947	2106.25	18357.35	21389.5	9577.317	-3.402823E+38	-3.402823E+38	-3.402823E+38	-1582.685	-1586.821	26.136	-1582.392	-1576.849	-1585.435	0	0	0	0	0	4	0	0	0
2026.0136	16.011	16.883	52697.39	30592.63	26620.91	163085.4	50473.71	9381.7	34807.92	280800.3	72205.88	67.4799	56.5704	61.6681	74.2986	68.5142	66.2994	72.702	77.5829	71.1301	4	3	3	4	2	6	1	4	3
2027.0154	16.011	16.949	23884.58	14451.54	10429.69	79418.8	33340.84	6813.85	14313.38	186313.7	39208.98	27.9212	41.50011	35.5991	40.9489	36.607	42.9554	38.7469	40.8295	36.5042	5	0	4	5	3	7	2	5	4
2027.91012	31.24	34.822	495901.6	545198.3	543510.6	94228.57	482539.7	56230.29	478625.8	298262	299563.6	-1575.893	27.5864	-1575.656	43.7901	-1575.786	-1575.54	-1575.623	-1575.726	-1575.82	0	4	0	6	0	0	0	0	0
2028.02	15.921	16.949	56441.1	4105.114	30954.6	19687.61	7350.77	2057.53	5727.968	27068.44	13649.23	-3.402823E+38	-1606.524	-3.402823E+38	9.6801	-1589.945	27.7444	-1598.835	10.8735	-1596.459	0	0	0	7	0	8	0	6	0
2029.0166	15.502	16.949	29263.85	16684.34	22863.14	8658.02	45130.76	761.3627	47310.04	89349.16	39156.53	-3.402823E+38	-3.402823E+38	-3.402823E+38	-2.6595	-3.402823E+38	-1817.221	-3.402823E+38	-3.402823E+38	-3.402823E+38	0	0	0	8	0	0	0	0	0
2033.1674	10.799	11.709	15549.27	8494.153	6064.14	7099.834	15886.09	5046.184	3028.486	5691.42	6772.75	-3.402823E+38	-1805.524	44.6591	-1798.709	-3.402823E+38	-3.402823E+38	-2518.5	-1795.182	59.3541	0	0	5	0	0	0	0	0	5
2037.1712	31.898	33.126	48614.84	36246.95	42316.25	8625.07	9747.95	12791.8	3935.593	77853.01	5707.887	-3.402823E+38	-3.402823E+38	-3.402823E+38	-1581.977	31.6685	-3.402823E+38	-1582.971	-3.402823E+38	-1581.964	0	0	0	0	4	0	0	0	0
