NumFeatures	MonoMass	MinElutionTime	MaxElutionTime	TopPIC.Unique.ID	TopPIC.Mass	TopPIC.Retention.Time	TopPIC.Proteoform.Details	TopPIC.E.Value	TDPortal.Unique.ID	TDPortal.Mass	TDPortal.Retention.Time	TDPortal.Proteoform.Details	TDPortal.E.Value	H3_C1	H3_C2	H3_C3	H3_C4	H3_C5	H4_A1	H4_A2	H4_A3	H4_A4
1	2000.19343	54.84	56.378												70517.91							
1	2008.00271	18.464	19.508														13123.39					
2	2011.91505	32.026	33.324											52473.735	36787.08	57370.32	41547.49		7298.505			40507.19
1	2016.0299	15.072	17.15																		26657.86	
3	2018.3161	116.792	117.483											6002.1								
3	2019.5834	40.363	42.679											99538.75	99929.42	67167.17		349583.4		210198.2		
1	2021.5813	42.498	44.469																	117005.4		
2	2021.98995	35.934	37.752														60190.98	39982.58			43512	
1	2024.9832	20.073	21.004																2106.25			
3	2026.0136	15.49	16.617											43282.4	19253.965	21594.09	130373.905	42740.425	3309.49	34807.92	166700.11	42416.205
1	2027.14379	56.467	57.544											163895.7								
1	2027.91012	31.24	34.822												545198.3		94228.57					
3	2029.0166	15.811	16.949											23884.58		10429.69	19687.61	33340.84	4435.69	14313.38	106691.07	39208.98
1	2032.01699	38.504	40.336												162801.4							
1	2033.1674	10.799	11.709													6064.14						6772.75
1	2035.97745	58.318	59.269																88755.82			
1	2037.1712	31.898	33.126															9747.95				
1	2037.1837	11.468	12.729															3040.74				
1	2037.9828	27.331	29.281														16924.95				9881.72	
1	2038.09645	56.198	57.981												57638.94				15806.12			
1	2042.44822	38.923	41.322													16994.56						
1	2043.20935	55.723	56.531											171309.9	134033.2	77811.55						
1	2045.1414	11.231	12.215											19744.3	10917.57	9714.01		11336.53		9052.93	14197.99	
1	2046.14255	11.194	12.204											6949.88	7744.04							12152.75
1	2046.58692	39.755	42.077											119416								42058.82
1	2047.58783	39.627	41.118											276631.4								
1	2054.9775	14.917	16.366											79687.09					16859.21		15953.46	
1	2055.97974	14.727	16.352																5030.62			
1	2060.0129	36.12	37.426																		57449.42	45415.75
2	2062.3132	114.784	115.237											7916.96								
1	2062.61064	57.942	59.335															45730.06				
6	2063.0242	36.905	38.431											347448.5	244855.1	113294.26		85071.68	73809.48	245628.45	91857.54	
1	2065.17985	89.009	89.852																9956.05			
1	2066.04066	11.801	12.715												6306.58							
3	2073.4641	26.065	27.196											93199.07	64688.39	37920.8						
1	2077.3809	35.039	36.888																			59540.38
1	2082.0628	12.252	14.174																		42430.52	
1	2085.1077	10.562	11.853													4886.51						
1	2087.23634	56.051	56.932											218286.9		71176.75						
4	2090.09232	12.019	13.226											19979.82	12786.225	11686.67	12864.6	13174.395			9920.37	9054.55
1	2090.5258	31.072	32.666														4255.3					
2	2090.8591	24.961	27.34												10864.39		30585.47					
1	2091.1735	87.164	88.173												64463.25							
2	2093.011	37.02	38.407											216580.9	206202.3	242651.6	150118.8	94081.87	15354.22	188842.3		99470.495
1	2094.01266	37.188	38.417											127358.9	107613.8	94063.26	103363.7		5695.33	115723.7		71584.18
1	2094.3507	57.408	58.876												149254.8							
1	2095.9592	13.268	14.57															8481.16				
1	2097.1237	106.751	107.466											2252.13								
1	2098.12882	78.127	81.205																	3225875		
2	2098.8648	12.617	13.704												10626.34	6147.015	4847.45					
6	2100.12858	94.639	97.09											21553.985	10356.05	13511.565	218441.5					252302.2
1	2103.12247	107.982	108.736															35913.68				
4	2103.12369	91.753	94.803												34713.31	2418.46	52242.49	231437				
1	2104.12321	101.301	102.227													15996.38						
4	2107.03402	51.208	52.584											2925285	1631469	2087986	2279477	1794337		2498343		1841528
1	2107.07069	26.236	27.784											53659.21								
3	2107.18839	87.771	88.753											76559.82			22503.37	81294.21				
2	2108.133	79.808	82.433													920983.2			26973.67			
2	2114.10419	11.874	12.782											28218.93	9881.27		23965.12	158375.85				97039.765
1	2120.16739	85.709	86.665														40991.27					
1	2123.1455	17.246	18.584											30558.51								
4	2123.5268	52.92	54.953											3429620.5	4186667	4469992	3997754	1294594			842461.7	2558926.5
1	2124.1213	98.049	98.691												1663.38							
1	2126.0757	15.793	16.735														63054.5	30352.08	4714.23	14754.92	121609.3	23216.77
1	2127.15885	89.401	90.791												16700.83							
1	2127.66506	46.126	48.612												348283.3							
1	2128.131	82.707	83.846																31189.81			
2	2128.85475	13.807	14.986													5240.18	40042.78				32264.47	
1	2130.9882	21.018	23.286											46450.35					2949.03			57682.56
3	2131.26393	56.234	57.136											158904.5		65450.81		18499255				
4	2131.5024	61.579	63.115											841884.8	85927.31							63049.24
2	2132.32316	35.36	37.463															94174.58				152877.6
4	2133.66799	45.657	47.066											1529099				285208.8				425082.8
1	2134.6773	45.721	47.025											621605.5								
7	2139.64518	53.231	55.152											352148.6	3593773	451176.7	1005463.05			1359173	138377	
2	2140.2636	11.13	12.753													20416.45						2483.35
3	2144.32828	46.383	48.159											4432631	8658969			648167.3				2165460
2	2144.8755	14.388	16.187															29596.77	4168.13		60355.315	15204.25
3	2145.02726	58.606	59.976															629624.5			480954.35	432726.8
1	2146.01798	64.964	65.852																			491824.1
2	2147.52433	56.109	58.082														3670495	9760180				
1	2148.0381	16.737	18.221																	13159.54		
1	2149.36077	114.399	115.461											12201.3								
1	2149.9358	10.242	11.879																4346.76		5955	1864.53
2	2149.99551	48.702	50.691												2972545				135884.6			
4	2151.00189	17.714	19.046											620138.3	124671			70235.23		8299.83		
1	2153.1178	82.784	84.379																103107			
1	2154.508	64.035	65.835												97593.87							
1	2154.99332	49.17	50.058															2615659				
2	2155.19084	89.6	90.551													40539.39				52565.73		
3	2155.63199	55.94	57.717													452975.9		313714.2			134043.6	
